Designator,Footprint,Quantity,Value,LCSC Part #
B1,BUZ-SMD_FST-5030,1,FUET-5030,C391031
"C1, C2",0603,2,2u2,C23630
"C10, C11, C12, C13, C14, C15, C16, C17, C19, C22, C23, C24, C25, C33, C35, C39, C4, C44, C45, C46, C47, C48, C5, C50, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C65, C66, C67, C68, C7, C8, C85, C9",0402,44,100n,C307331
"C18, C20, C21, C49",0402,4,1u,C52923
"C26, C27, C28, C29",0402,4,10p,C32949
"C3, C30, C31, C32, C34, C51, C52, C64, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82",0805,18,10u,C440198
"C36, C37, C38, C41, C42, C43, C69, C70, C71, C72, C83, C84, C86, C87",0805,14,22u,C45783
C40,0402,1,2n7,C106251
D1,D_SMB,1,SMBJ28CA,C19077583
"D10, D11, D12, D9",LED-SMD_4P-L2.0-W2.0-BR,4,SK6812,C2909058
D13,D_SOD-123,1,SMF18A,C19077512
"D2, D3, D4, D7",0805,4,GREEN 0805,C2297
D5,D_SMF,1,SMF5V0A,C1972946
D6,D_SOD-123,1,1N4148W,C2099
D8,0805,1,BLUE 0805,C84256
F1,0603,1,500 mA @ 6V,C210357
"J10, J11",JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,2,B6B-PH,
"J12, J13, J17, J4, J5, J8, J9",BM04B-GHS1.25,7,BM04B-GHS1.25,C161692
"J14, J16",BM02B-GHS1.25,2,BM02B-GHS1.25,C225118
J15,BM05B-GHS1.25,1,BM05B-GHS1.25,C225121
J18,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,U.FL,C88374
J2,USB-C_SMD-TYPE-C-31-M-12_1,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,microSD_HC_Hirose_DM3D-SF,1,MicroSD Card Holder,C719027
J6,BM06B-GHS-1.25,1,BM06B-GHS1.25,C225122 
J7,BM08B-GHS1.25,1,BM08B-GHS1.25,C133062
L1,0603,1,600R@100MHz,C1002
L2,IND-SMD_L7.2-W6.6_GPSR07X0,1,4.7 uH 6A,C5189754
Q1,DFN-8,1,NMOS,C467174
Q2,SOT-23,1,MMBT3904,C7420353
"R1, R13, R15, R34, R36",0402,5,1k,C106235
"R10, R17, R3, R55",0402,4,100k,C25741
"R11, R18, R5",0402,3,33k,C25779
"R12, R23, R24",0402,3,5k1,C25905
R14,0402,1,3k57,C270609
R16,0402,1,1k15,C5159680
"R19, R20, R30, R31, R32, R33, R37, R56, R8",0402,9,10k,C25744
R2,1206,1,10m,C105362
"R21, R22, R26, R27, R38, R39, R40, R41, R42, R43, R44, R45, R46, R57, R58",0402,15,22R,C2929994
"R25, R28, R29, R47, R48, R49, R50, R51, R52",0402,9,47k,C25792
R35,0402,1,220R,C25091
R4,0402,1,53k6,C53398
"R53, R54",0402,2,120R,C25079
R6,0402,1,200k,C25764
R7,0402,1,15k8,C26956
R9,0402,1,20k,C25765
"SW1, SW2, SW3",SW-SMD_L3.9-W3.0-P4.45,3,SW_Push,C720477
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP40, TP5_2, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_1.0x1.0mm,39,TestPoint,
U1,LQFP-144_20x20mm_P0.5mm,1,STM32H743ZITx,C114408
U10,LGA-16_3x3mm_P0.5mm,1,MMC5983MA,C404329
U11,SOT-23-6,1,USBLC6-2SC6,C7519
U12,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24C64B,C79988
U14,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,SP3223,C2671803
"U15, U16",HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,2,TJA1051TK-3,C2875699
"U17, U21",SOT-23-5,2,74AHCT1G125,C20617903
"U18, U19, U2, U20, U22",SOT-363_SC-70-6,5,PD4E1U,C194628
U3,SOT-23-5,1,INA180,C122228
U4,SOT-23-6,1,LM74700,C2941042
U5,SO-8-EP,1,AP64500,C2070920
U6,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,1,TPS2121,C2156025
U7,VSON-10,1,TPS74801DRC,C105263
U8,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,C97627
U9,Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering,1,BMI088,C194919
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25 MHz Crystal,C9006
Y2,Crystal_SMD_3215-2Pin,1,32.768 kHz,C32346
