Designator,Mid X,Mid Y,Rotation,Layer
B1,135.8,-94.1,45.0,top
C1,161.0,-106.5,315.0,bottom
C10,162.0,-104.5,45.0,bottom
C11,158.939411,-101.0,225.0,bottom
C12,155.1,-97.1,225.0,bottom
C13,150.5,-94.2,225.0,bottom
C14,145.7,-96.4,135.0,bottom
C15,142.1,-99.9,135.0,bottom
C16,138.0,-103.7,135.0,bottom
C17,136.7,-105.0,315.0,bottom
C18,146.3,-119.9,315.0,top
C19,147.0,-119.2,315.0,top
C2,152.4,-95.7,225.0,bottom
C20,145.8,-121.5,225.0,top
C21,145.0,-118.6,135.0,top
C22,145.7,-117.9,135.0,top
C23,129.3,-108.1,0.0,bottom
C24,129.3,-103.6,0.0,bottom
C25,129.3,-101.9,0.0,bottom
C26,142.5,-114.7,315.0,top
C27,143.9,-116.1,135.0,top
C28,137.2,-109.4,315.0,top
C29,138.6,-110.8,135.0,top
C3,134.5,-105.0,270.0,bottom
C30,100.87,-102.2,90.0,bottom
C31,98.0,-91.5,180.0,bottom
C32,98.0,-89.5,180.0,bottom
C33,104.6,-90.6,90.0,bottom
C34,105.0,-85.3,270.0,top
C35,112.2,-87.5,90.0,top
C36,113.5,-102.0,270.0,top
C37,111.5,-102.0,270.0,top
C38,109.5,-102.0,270.0,top
C39,104.8,-106.9,270.0,bottom
C4,139.5,-107.5,225.0,bottom
C40,104.5,-88.0,270.0,top
C41,107.1,-107.5,270.0,bottom
C42,115.4,-107.8,270.0,bottom
C43,113.4,-107.8,270.0,bottom
C44,122.5,-95.0,180.0,bottom
C45,170.6,-121.2,0.0,bottom
C46,165.0,-121.3,180.0,bottom
C47,165.0,-126.4,0.0,bottom
C48,149.2,-125.5,180.0,bottom
C49,155.7,-125.8,270.0,bottom
C5,142.8,-110.8,45.0,bottom
C50,158.3,-123.2,0.0,bottom
C51,160.9,-125.5,270.0,bottom
C52,137.5,-83.7,0.0,top
C53,147.1,-126.3,90.0,bottom
C54,135.1125,-127.3,90.0,bottom
C55,155.6,-88.5,270.0,bottom
C56,164.6,-88.6,270.0,bottom
C57,164.6,-92.38,270.0,bottom
C58,162.9,-87.2,180.0,bottom
C59,164.6,-90.5,270.0,bottom
C6,147.8,-115.7,225.0,bottom
C60,165.9,-94.0,90.0,top
C61,169.4,-96.3,180.0,top
C62,165.9,-116.02,90.0,top
C63,169.4,-118.3,180.0,top
C64,133.8,-95.5,0.0,bottom
C65,124.4,-99.38,270.0,top
C66,124.4,-103.08,90.0,top
C67,124.4,-106.68,270.0,top
C68,124.4,-110.3,90.0,top
C69,117.5,-125.0,90.0,bottom
C7,150.8,-117.1,315.0,bottom
C70,117.5,-115.5,90.0,bottom
C71,156.6,-83.8,180.0,bottom
C72,140.8,-89.5,180.0,top
C73,109.0,-125.0,90.0,bottom
C74,109.0,-116.0,90.0,bottom
C75,115.6,-93.8,270.0,bottom
C76,115.6,-90.0,90.0,bottom
C77,117.6,-90.0,90.0,bottom
C78,117.6,-93.8,270.0,bottom
C79,124.6,-93.9,270.0,bottom
C8,155.4,-112.5,315.0,bottom
C80,126.6,-93.9,270.0,bottom
C81,124.6,-90.1,90.0,bottom
C82,126.6,-90.1,90.0,bottom
C83,170.5,-90.0,180.0,top
C84,170.5,-112.0,180.0,top
C85,96.7,-107.9,0.0,bottom
C86,131.2,-125.6,90.0,top
C87,167.0,-115.3,0.0,bottom
C9,159.0,-109.0,315.0,bottom
D1,99.87,-96.2,270.0,bottom
D10,126.35,-103.1,270.0,top
D11,126.35,-106.725,180.0,top
D12,126.35,-110.35,270.0,top
D13,94.5,-107.0,90.0,bottom
D2,101.6,-125.6,0.0,top
D3,101.6,-123.6,0.0,top
D4,101.6,-121.6,0.0,top
D5,102.1,-112.9,0.0,top
D6,138.6,-96.8,45.0,top
D7,168.0,-102.02,180.0,top
D8,167.9,-108.0,180.0,top
D9,126.35,-99.475,180.0,top
F1,101.2,-111.0,0.0,top
FID1,100.0,-82.0,0.0,top
FID2,170.0,-85.0,0.0,top
FID3,170.0,-125.0,0.0,top
FID4,100.0,-82.0,0.0,bottom
FID5,170.0,-85.0,0.0,bottom
FID6,170.0,-125.0,0.0,bottom
J1,99.175,-96.0,270.0,top
J10,120.0,-88.0,90.0,top
J11,129.0,-88.0,90.0,top
J12,174.5,-94.0,90.0,top
J13,174.5,-116.0,90.0,top
J14,94.5,-107.0,270.0,top
J15,174.5,-105.0,90.0,top
J16,127.0,-116.0,270.0,top
J17,127.0,-124.5,270.0,top
J18,182.05,-105.0,180.0,bottom
J2,96.0,-116.0,270.0,top
J3,139.32,-87.025,180.0,bottom
J4,118.5,-124.5,270.0,top
J5,118.5,-115.0,270.0,top
J6,145.5,-85.0,180.0,top
J7,160.0,-85.0,180.0,top
J8,110.0,-124.5,270.0,top
J9,110.0,-115.0,270.0,top
L1,144.5,-119.9,135.0,top
L2,109.0,-96.0,270.0,top
Q1,94.5,-96.13,270.0,bottom
Q2,137.5,-96.0,0.0,bottom
R1,129.3,-99.1,0.0,bottom
R10,99.2,-107.5,90.0,bottom
R11,100.2,-107.5,270.0,bottom
R12,104.5,-125.6,0.0,bottom
R13,104.5,-123.6,0.0,bottom
R14,113.3,-105.5,180.0,bottom
R15,104.5,-121.6,0.0,bottom
R16,113.3,-104.5,0.0,bottom
R17,122.5,-93.0,0.0,bottom
R18,170.6,-120.2,180.0,bottom
R19,122.5,-94.0,180.0,bottom
R2,101.0,-86.5,180.0,bottom
R20,170.6,-122.2,0.0,bottom
R21,106.0,-114.0,0.0,bottom
R22,106.0,-115.0,180.0,bottom
R23,95.7,-116.8,0.0,bottom
R24,95.7,-115.0,0.0,bottom
R25,140.7,-93.8,0.0,top
R26,143.59,-92.1,180.0,top
R27,144.6,-114.0,315.0,bottom
R28,136.2,-127.3,90.0,bottom
R29,146.9,-92.4,90.0,bottom
R3,99.2,-105.51,270.0,bottom
R30,131.3,-122.8,0.0,bottom
R31,133.3,-122.8,0.0,bottom
R32,169.51,-91.6,180.0,top
R33,169.9,-113.6,180.0,top
R34,170.3,-102.0,90.0,top
R35,134.0,-97.5,90.0,bottom
R36,170.2,-108.0,270.0,top
R37,135.0,-97.5,90.0,bottom
R38,125.7,-99.6,270.0,bottom
R39,135.2,-101.7,225.0,bottom
R4,105.5,-91.0,270.0,top
R40,136.2,-100.8,225.0,bottom
